Ticker,Expiration,strike,Type,bid,ask,lastPrice,volume,openInterest
AAPL,2026-05-26,220.0,Call,0.0,0.0,89.18,2.0,0.0
AAPL,2026-05-26,220.0,Put,0.0,0.0,0.01,35.0,0.0
AAPL,2026-05-26,225.0,Call,0.0,0.0,84.2,18.0,0.0
AAPL,2026-05-26,230.0,Call,0.0,0.0,61.6,,0.0
AAPL,2026-05-26,230.0,Put,0.0,0.0,0.01,1.0,0.0
AAPL,2026-05-26,235.0,Call,0.0,0.0,58.65,,0.0
AAPL,2026-05-26,235.0,Put,0.0,0.0,0.05,,0.0
AAPL,2026-05-26,240.0,Call,0.0,0.0,62.2,3.0,0.0
AAPL,2026-05-26,240.0,Put,0.0,0.0,0.57,,0.0
AAPL,2026-05-26,245.0,Call,0.0,0.0,48.95,,0.0
AAPL,2026-05-26,245.0,Put,0.0,0.0,0.01,3.0,0.0
AAPL,2026-05-26,250.0,Call,0.0,0.0,46.5,,0.0
AAPL,2026-05-26,250.0,Put,0.0,0.0,0.01,1.0,0.0
AAPL,2026-05-26,255.0,Call,0.0,0.0,43.2,1.0,0.0
AAPL,2026-05-26,255.0,Put,0.0,0.0,0.07,1.0,0.0
AAPL,2026-05-26,260.0,Call,0.0,0.0,36.11,2.0,0.0
AAPL,2026-05-26,260.0,Put,0.0,0.0,0.01,11.0,0.0
AAPL,2026-05-26,265.0,Call,0.0,0.0,44.19,2.0,0.0
AAPL,2026-05-26,265.0,Put,0.0,0.0,0.02,10.0,0.0
AAPL,2026-05-26,270.0,Call,0.0,0.0,39.01,11.0,0.0
AAPL,2026-05-26,270.0,Put,0.0,0.0,0.02,48.0,0.0
AAPL,2026-05-26,272.5,Call,0.0,0.0,36.38,2.0,0.0
AAPL,2026-05-26,272.5,Put,0.0,0.0,0.01,6.0,0.0
AAPL,2026-05-26,275.0,Call,0.0,0.0,34.17,3.0,0.0
AAPL,2026-05-26,275.0,Put,0.0,0.0,0.01,10.0,0.0
AAPL,2026-05-26,277.5,Call,0.0,0.0,30.63,1.0,0.0
AAPL,2026-05-26,277.5,Put,0.0,0.0,0.01,6.0,0.0
AAPL,2026-05-26,280.0,Call,0.0,0.0,29.75,9.0,0.0
AAPL,2026-05-26,280.0,Put,0.0,0.0,0.02,79.0,0.0
AAPL,2026-05-26,282.5,Call,0.0,0.0,27.79,5.0,0.0
AAPL,2026-05-26,282.5,Put,0.0,0.0,0.03,29.0,0.0
AAPL,2026-05-26,285.0,Call,0.0,0.0,23.1,21.0,0.0
AAPL,2026-05-26,285.0,Put,0.0,0.0,0.04,72.0,0.0
AAPL,2026-05-26,287.5,Call,0.0,0.0,20.9,6.0,0.0
AAPL,2026-05-26,287.5,Put,0.0,0.0,0.03,53.0,0.0
AAPL,2026-05-26,290.0,Call,0.0,0.0,19.65,247.0,0.0
AAPL,2026-05-26,290.0,Put,0.0,0.0,0.04,1583.0,0.0
AAPL,2026-05-26,292.5,Call,0.0,0.0,16.41,17.0,0.0
AAPL,2026-05-26,292.5,Put,0.0,0.0,0.04,311.0,0.0
AAPL,2026-05-26,295.0,Call,0.0,0.0,14.3,247.0,0.0
AAPL,2026-05-26,295.0,Put,0.0,0.0,0.06,1329.0,0.0
AAPL,2026-05-26,297.5,Call,0.0,0.0,11.47,444.0,0.0
AAPL,2026-05-26,297.5,Put,0.0,0.0,0.09,1311.0,0.0
AAPL,2026-05-26,300.0,Call,0.0,0.0,9.68,380.0,0.0
AAPL,2026-05-26,300.0,Put,0.0,0.0,0.14,5763.0,0.0
AAPL,2026-05-26,302.5,Call,0.0,0.0,6.87,581.0,0.0
AAPL,2026-05-26,302.5,Put,0.0,0.0,0.27,6650.0,0.0
AAPL,2026-05-26,305.0,Call,0.0,0.0,4.65,5328.0,0.0
AAPL,2026-05-26,305.0,Put,0.0,0.0,0.55,12668.0,0.0
AAPL,2026-05-26,307.5,Call,0.0,0.0,2.43,10913.0,0.0
AAPL,2026-05-26,307.5,Put,0.0,0.0,1.2,13701.0,0.0
AAPL,2026-05-26,310.0,Call,0.0,0.0,1.18,34027.0,0.0
AAPL,2026-05-26,310.0,Put,0.0,0.0,2.14,8396.0,0.0
AAPL,2026-05-26,312.5,Call,0.0,0.0,0.48,15829.0,0.0
AAPL,2026-05-26,312.5,Put,0.0,0.0,3.97,1352.0,0.0
AAPL,2026-05-26,315.0,Call,0.0,0.0,0.2,20553.0,0.0
AAPL,2026-05-26,315.0,Put,0.0,0.0,6.9,1276.0,0.0
AAPL,2026-05-26,317.5,Call,0.0,0.0,0.08,2317.0,0.0
AAPL,2026-05-26,317.5,Put,0.0,0.0,8.37,4.0,0.0
AAPL,2026-05-26,320.0,Call,0.0,0.0,0.05,3123.0,0.0
AAPL,2026-05-26,320.0,Put,0.0,0.0,11.6,28.0,0.0
AAPL,2026-05-26,322.5,Call,0.0,0.0,0.03,178.0,0.0
AAPL,2026-05-26,325.0,Call,0.0,0.0,0.01,1592.0,0.0
AAPL,2026-05-26,327.5,Call,0.0,0.0,0.01,19.0,0.0
AAPL,2026-05-26,327.5,Put,0.0,0.0,18.15,6.0,0.0
AAPL,2026-05-26,330.0,Call,0.0,0.0,0.01,207.0,0.0
AAPL,2026-05-26,330.0,Put,0.0,0.0,29.18,,0.0
AAPL,2026-05-26,335.0,Call,0.0,0.0,0.01,53.0,0.0
AAPL,2026-05-26,340.0,Call,0.0,0.0,0.04,1.0,0.0
AAPL,2026-05-26,350.0,Call,0.0,0.0,0.03,2.0,0.0
AAPL,2026-05-26,360.0,Call,0.0,0.0,0.05,2.0,0.0
AAPL,2026-05-26,365.0,Call,0.0,0.0,0.02,3.0,0.0
AAPL,2026-05-27,215.0,Call,0.0,0.0,84.56,2.0,0.0
AAPL,2026-05-27,215.0,Put,0.0,0.0,0.01,15.0,0.0
AAPL,2026-05-27,220.0,Call,0.0,0.0,79.59,,0.0
AAPL,2026-05-27,220.0,Put,0.0,0.0,0.22,,0.0
AAPL,2026-05-27,235.0,Put,0.0,0.0,0.25,1.0,0.0
AAPL,2026-05-27,240.0,Call,0.0,0.0,58.19,,0.0
AAPL,2026-05-27,245.0,Put,0.0,0.0,0.01,5.0,0.0
AAPL,2026-05-27,250.0,Put,0.0,0.0,0.09,2.0,0.0
AAPL,2026-05-27,260.0,Call,0.0,0.0,50.22,1.0,0.0
AAPL,2026-05-27,260.0,Put,0.0,0.0,0.15,15.0,0.0
AAPL,2026-05-27,265.0,Call,0.0,0.0,35.15,1.0,0.0
AAPL,2026-05-27,265.0,Put,0.0,0.0,0.01,5.0,0.0
AAPL,2026-05-27,267.5,Call,0.0,0.0,41.8,25.0,0.0
AAPL,2026-05-27,267.5,Put,0.0,0.0,0.06,1.0,0.0
AAPL,2026-05-27,270.0,Call,0.0,0.0,32.3,1.0,0.0
AAPL,2026-05-27,270.0,Put,0.0,0.0,0.07,23.0,0.0
AAPL,2026-05-27,272.5,Call,0.0,0.0,29.9,,0.0
AAPL,2026-05-27,272.5,Put,0.0,0.0,0.07,2.0,0.0
AAPL,2026-05-27,275.0,Call,0.0,0.0,33.42,7.0,0.0
AAPL,2026-05-27,275.0,Put,0.0,0.0,0.01,1.0,0.0
AAPL,2026-05-27,277.5,Call,0.0,0.0,24.9,,0.0
AAPL,2026-05-27,277.5,Put,0.0,0.0,0.03,2.0,0.0
AAPL,2026-05-27,280.0,Call,0.0,0.0,29.34,3.0,0.0
AAPL,2026-05-27,280.0,Put,0.0,0.0,0.02,17.0,0.0
AAPL,2026-05-27,282.5,Call,0.0,0.0,20.15,,0.0
AAPL,2026-05-27,282.5,Put,0.0,0.0,0.04,8.0,0.0
AAPL,2026-05-27,285.0,Call,0.0,0.0,22.4,18.0,0.0
AAPL,2026-05-27,285.0,Put,0.0,0.0,0.02,66.0,0.0
AAPL,2026-05-27,287.5,Call,0.0,0.0,21.91,6.0,0.0
AAPL,2026-05-27,287.5,Put,0.0,0.0,0.05,21.0,0.0
AAPL,2026-05-27,290.0,Call,0.0,0.0,19.41,2.0,0.0
AAPL,2026-05-27,290.0,Put,0.0,0.0,0.06,167.0,0.0
AAPL,2026-05-27,292.5,Call,0.0,0.0,16.8,2.0,0.0
AAPL,2026-05-27,292.5,Put,0.0,0.0,0.08,318.0,0.0
AAPL,2026-05-27,295.0,Call,0.0,0.0,12.35,26.0,0.0
AAPL,2026-05-27,295.0,Put,0.0,0.0,0.13,716.0,0.0
AAPL,2026-05-27,297.5,Call,0.0,0.0,12.28,24.0,0.0
AAPL,2026-05-27,297.5,Put,0.0,0.0,0.19,1211.0,0.0
AAPL,2026-05-27,300.0,Call,0.0,0.0,9.5,1138.0,0.0
AAPL,2026-05-27,300.0,Put,0.0,0.0,0.38,6246.0,0.0
AAPL,2026-05-27,302.5,Call,0.0,0.0,6.63,146.0,0.0
AAPL,2026-05-27,302.5,Put,0.0,0.0,0.62,940.0,0.0
AAPL,2026-05-27,305.0,Call,0.0,0.0,4.96,1113.0,0.0
AAPL,2026-05-27,305.0,Put,0.0,0.0,0.9,2356.0,0.0
AAPL,2026-05-27,307.5,Call,0.0,0.0,3.3,2030.0,0.0
