Ticker,Expiration,strike,Type,ExerciseStyle,bid,ask,lastPrice,volume,openInterest,Description
SPX,2026-01-17,5400,Call,European,60.0,85.0,72.5,1344,637,
SPX,2026-01-17,5400,Put,European,6.0,8.0,7.0,255,63,
SPX,2026-01-17,5450,Call,European,52.5,77.5,65.0,1301,620,
SPX,2026-01-17,5450,Put,European,5.25,7.25,6.25,248,62,
SPX,2026-01-17,5500,Call,European,50.0,75.0,62.5,1258,603,
SPX,2026-01-17,5500,Put,European,4.5,6.5,5.5,241,60,
SPX,2026-01-17,5550,Call,European,50.0,75.0,62.5,1215,586,
SPX,2026-01-17,5550,Put,European,3.7500000000000004,5.75,4.75,234,58,
SPX,2026-01-17,5600,Call,European,50.0,75.0,62.5,1172,568,
SPX,2026-01-17,5600,Put,European,3.0,5.0,4.0,227,56,
SPX,2026-01-17,5650,Call,European,50.0,75.0,62.5,1129,551,
SPX,2026-01-17,5650,Put,European,3.0,5.0,4.0,220,55,
SPX,2026-01-17,5700,Call,European,50.0,75.0,62.5,1086,534,
SPX,2026-01-17,5700,Put,European,3.0,5.0,4.0,213,53,
SPX,2026-01-17,5750,Call,European,50.0,75.0,62.5,1043,517,
SPX,2026-01-17,5750,Put,European,3.0,5.0,4.0,206,51,
SPX,2026-01-17,5800,Call,European,5.0,7.0,6.0,500,100,
SPX,2026-01-17,5800,Put,European,3.0,5.0,4.0,200,50,
SPX,2026-01-17,5850,Call,European,5.0,7.0,6.0,508,104,
SPX,2026-01-17,5850,Put,European,45.0,65.0,55.0,834,312,
SPX,2026-01-17,5900,Call,European,5.0,7.0,6.0,517,108,
SPX,2026-01-17,5900,Put,European,45.0,65.0,55.0,868,325,
SPX,2026-01-17,5950,Call,European,5.0,7.0,6.0,525,112,
SPX,2026-01-17,5950,Put,European,45.0,65.0,55.0,903,338,
SPX,2026-01-17,6000,Call,European,5.0,7.0,6.0,534,117,
SPX,2026-01-17,6000,Put,European,45.0,65.0,55.0,937,351,
SPX,2026-01-17,6050,Call,European,5.000000000000001,7.000000000000001,6.000000000000001,543,121,
SPX,2026-01-17,6050,Put,European,45.0,65.0,55.0,972,364,
SPX,2026-01-17,6100,Call,European,6.0,8.0,7.0,551,125,
SPX,2026-01-17,6100,Put,European,45.0,65.0,55.0,1006,377,
SPX,2026-01-24,5400,Call,European,60.0,85.0,72.5,1344,637,
SPX,2026-01-24,5400,Put,European,6.0,8.0,7.0,255,63,
SPX,2026-01-24,5450,Call,European,52.5,77.5,65.0,1301,620,
SPX,2026-01-24,5450,Put,European,5.25,7.25,6.25,248,62,
SPX,2026-01-24,5500,Call,European,50.0,75.0,62.5,1258,603,
SPX,2026-01-24,5500,Put,European,4.5,6.5,5.5,241,60,
SPX,2026-01-24,5550,Call,European,50.0,75.0,62.5,1215,586,
SPX,2026-01-24,5550,Put,European,3.7500000000000004,5.75,4.75,234,58,
SPX,2026-01-24,5600,Call,European,50.0,75.0,62.5,1172,568,
SPX,2026-01-24,5600,Put,European,3.0,5.0,4.0,227,56,
SPX,2026-01-24,5650,Call,European,50.0,75.0,62.5,1129,551,
SPX,2026-01-24,5650,Put,European,3.0,5.0,4.0,220,55,
SPX,2026-01-24,5700,Call,European,50.0,75.0,62.5,1086,534,
SPX,2026-01-24,5700,Put,European,3.0,5.0,4.0,213,53,
SPX,2026-01-24,5750,Call,European,50.0,75.0,62.5,1043,517,
SPX,2026-01-24,5750,Put,European,3.0,5.0,4.0,206,51,
SPX,2026-01-24,5800,Call,European,5.0,7.0,6.0,500,100,
SPX,2026-01-24,5800,Put,European,3.0,5.0,4.0,200,50,
SPX,2026-01-24,5850,Call,European,5.0,7.0,6.0,508,104,
SPX,2026-01-24,5850,Put,European,45.0,65.0,55.0,834,312,
SPX,2026-01-24,5900,Call,European,5.0,7.0,6.0,517,108,
SPX,2026-01-24,5900,Put,European,45.0,65.0,55.0,868,325,
